iter	TotalF1:average=Micro	MultiClass
326	0.9830671541	0.2552436211
327	0.9830671541	0.2545910605
328	0.9830671541	0.2539977616
329	0.9830671541	0.2529254126
330	0.9834519915	0.251971728
331	0.9838368289	0.2513218451
332	0.9840292476	0.2508514387
333	0.9847989225	0.250095998
334	0.9842216663	0.2494440011
335	0.9846065038	0.2487774883
336	0.9855685973	0.2478822198
337	0.9855685973	0.2472708113
338	0.9855685973	0.2464418982
339	0.9859534347	0.2458673433
340	0.9863382721	0.2449444523
341	0.9865306908	0.2442541455
342	0.9867231095	0.2432211868
343	0.9867231095	0.242284367
344	0.9867231095	0.2418301208
345	0.9867231095	0.2412404627
346	0.9865306908	0.2406455197
347	0.9865306908	0.2401948202
348	0.9871079469	0.2395110902
349	0.987685203	0.2389137513
350	0.9878776217	0.238165827
351	0.9878776217	0.2375312821
352	0.9880700404	0.2368888216
353	0.9880700404	0.2362936437
354	0.9884548778	0.2356352579
355	0.9888397152	0.2350005252
356	0.9888397152	0.2342676101
357	0.9890321339	0.2336740059
358	0.9890321339	0.2325423011
359	0.9890321339	0.2318888714
360	0.9890321339	0.231105033
361	0.9892245526	0.2305875554
362	0.9892245526	0.2296958807
363	0.9888397152	0.2289410037
364	0.9890321339	0.2283559964
365	0.9890321339	0.2276212726
366	0.9892245526	0.2270268698
367	0.9894169713	0.2266322377
368	0.9894169713	0.22599323
369	0.9894169713	0.2256613829
370	0.9894169713	0.224747582
371	0.9898018087	0.2240533526
372	0.9899942274	0.2235212416
373	0.9899942274	0.2228648289
374	0.9901866461	0.2222160734
375	0.9903790648	0.2214344429
376	0.9905714835	0.221142503
377	0.9907639023	0.2201692524
378	0.9905714835	0.2194175463
379	0.9905714835	0.2187733712
380	0.9907639023	0.218167318
381	0.990956321	0.2176272209
382	0.9907639023	0.2171654113
383	0.9907639023	0.2164821511
384	0.990956321	0.2159186123
385	0.990956321	0.2154848012
386	0.990956321	0.2152206248
387	0.990956321	0.2146648607
388	0.990956321	0.2143110753
389	0.990956321	0.2137264672
390	0.9913411584	0.2130843591
391	0.9915335771	0.2125917324
392	0.9913411584	0.2123075907
393	0.9915335771	0.2119892495
394	0.9917259958	0.2114003431
395	0.9917259958	0.2110921725
396	0.9919184145	0.2105010581
397	0.9921108332	0.2098425549
398	0.9924956706	0.2091195285
399	0.9926880893	0.2084426337
400	0.9926880893	0.2078972986
401	0.992880508	0.2072103976
402	0.9930729267	0.206680706
403	0.9930729267	0.2060504361
404	0.9930729267	0.2054991349
405	0.9930729267	0.2052040944
406	0.992880508	0.2046926769
407	0.992880508	0.2043494378
408	0.9930729267	0.2039637548
409	0.9932653454	0.2032722031
410	0.9930729267	0.2024830563
411	0.9930729267	0.2019682564
412	0.9934577641	0.201474972
413	0.9936501828	0.2009396196
414	0.9940350202	0.2002165932
415	0.9944198576	0.1994891509
416	0.9944198576	0.1988972849
417	0.9944198576	0.1983162236
418	0.9944198576	0.1977416922
419	0.9944198576	0.197173949
420	0.9946122763	0.196750555
421	0.9946122763	0.1963331389
422	0.994804695	0.195996782
423	0.9946122763	0.1956742951
424	0.994804695	0.1953191355
425	0.994804695	0.1949644692
426	0.9949971137	0.1943749286
427	0.9951895324	0.193862595
428	0.9951895324	0.193462537
429	0.9951895324	0.1931510897
430	0.9949971137	0.1926688568
431	0.9951895324	0.1920367783
432	0.9951895324	0.1913835248
433	0.9953819511	0.1910010245
434	0.9953819511	0.1906470394
435	0.9955743698	0.1900994259
436	0.9957667885	0.1896261891
437	0.9957667885	0.1893574676
438	0.9961516259	0.1888338008
439	0.9963440446	0.1882452819
440	0.9965364633	0.1880324868
441	0.9965364633	0.1874002556
442	0.996728882	0.186839606
443	0.996728882	0.1866000808
444	0.996728882	0.1859737453
445	0.9969213008	0.1854253332
446	0.9969213008	0.1850112877
447	0.9974985569	0.1845797432
448	0.9973061382	0.1843885811
449	0.9974985569	0.183919537
450	0.9973061382	0.1834539928
451	0.9973061382	0.182980157
452	0.9969213008	0.1823303093
453	0.9971137195	0.1817532881
454	0.9971137195	0.1811704065
455	0.9973061382	0.1807444053
456	0.9973061382	0.1801578712
457	0.9974985569	0.1796003455
458	0.9974985569	0.1792774476
459	0.9974985569	0.1791008484
460	0.9974985569	0.1786146694
461	0.9974985569	0.1782912313
462	0.9974985569	0.1777001169
463	0.9974985569	0.1773416689
464	0.9974985569	0.1770341678
465	0.9976909756	0.1766595009
466	0.9976909756	0.1763133727
467	0.9976909756	0.1759950668
468	0.9976909756	0.1756779706
469	0.9978833943	0.1751784618
470	0.9978833943	0.1748000133
471	0.9978833943	0.1744591818
472	0.9976909756	0.1739330016
473	0.9976909756	0.1734520606
474	0.9978833943	0.1731391571
475	0.9978833943	0.1728857737
476	0.9978833943	0.1725157458
477	0.9978833943	0.1722499604
478	0.9978833943	0.1720184684
479	0.9978833943	0.1715526775
480	0.9978833943	0.1709683396
481	0.998075813	0.1704842041
482	0.998075813	0.1702078958
483	0.9978833943	0.1696617386
484	0.9978833943	0.169315035
485	0.9978833943	0.1688714291
486	0.9978833943	0.1685226349
487	0.9978833943	0.1682779071
488	0.9978833943	0.1679244622
489	0.9978833943	0.1674585069
490	0.9978833943	0.1670577912
491	0.9978833943	0.1667944369
492	0.9978833943	0.1665611245
493	0.9978833943	0.1659741793
494	0.9978833943	0.1656142281
495	0.9978833943	0.1653023463
496	0.998075813	0.1648770733
497	0.998075813	0.1643607701
498	0.998075813	0.1639958158
499	0.9982682317	0.1637250274
500	0.998075813	0.1634650085
501	0.998075813	0.1632551377
502	0.9978833943	0.1626813814
503	0.9978833943	0.1622417451
504	0.998075813	0.1617667114
505	0.998075813	0.1612784067
506	0.998075813	0.1608824709
507	0.998075813	0.1606424173
508	0.9982682317	0.160348105
509	0.9982682317	0.1599234779
510	0.9982682317	0.1594691729
511	0.9982682317	0.1591528518
512	0.9982682317	0.1589234502
513	0.9982682317	0.1586957516
514	0.9986530691	0.1583608745
515	0.9986530691	0.1578806381
516	0.9988454878	0.1573942829
517	0.9988454878	0.1570054759
518	0.9988454878	0.1567028487
519	0.9988454878	0.1563619467
520	0.9988454878	0.1562215201
521	0.9988454878	0.1556954221
522	0.9990379065	0.155390446
523	0.9988454878	0.1549521955
524	0.9992303252	0.1545755674
525	0.9992303252	0.1544079996
526	0.9992303252	0.1541807943
527	0.9990379065	0.153931862
528	0.9990379065	0.1535745767
529	0.9990379065	0.1530919092
530	0.9990379065	0.152867088
531	0.9990379065	0.1525786479
532	0.9990379065	0.1522555972
533	0.9992303252	0.1519876039
534	0.9992303252	0.1516592331
535	0.9992303252	0.1513964543
536	0.9992303252	0.151095941
537	0.9992303252	0.150803684
538	0.9992303252	0.1502600518
539	0.9992303252	0.1497883183
540	0.9992303252	0.149533138
541	0.9992303252	0.1492772883
542	0.9990379065	0.1489477196
543	0.9990379065	0.1485641506
544	0.9990379065	0.1483269978
545	0.9990379065	0.1481570695
546	0.9990379065	0.1477266642
547	0.9990379065	0.1472345543
548	0.9990379065	0.147052036
549	0.9990379065	0.1468657126
550	0.9990379065	0.1465823225
551	0.9992303252	0.1463769146
552	0.9990379065	0.1461401846
553	0.9990379065	0.145854387
554	0.9990379065	0.1457296859
555	0.9990379065	0.1453023694
556	0.9990379065	0.1449220653
557	0.9990379065	0.1444073241
558	0.9990379065	0.1439260072
559	0.9990379065	0.1436501922
560	0.9990379065	0.1433657921
561	0.9990379065	0.1431217572
562	0.9990379065	0.142840575
563	0.9990379065	0.1426449971
